Date,SL_vol,FW_in,PS_TS,PS_VS,M1_in,M1_temp,M1_pH,M1_TS,M1_VS,M1_VFA,M1_Alk,M1_vol,M1_eff,BP,CH4,CO2,H2S
2019-01-01,1397,435,37007.0,29349.0,1832,34.0,7.2,21315.0,14365.0,75.0,2685.0,19707,1751,22847,59.6,30.5,11.0
2019-01-02,1150,399,,,1549,34.0,7.2,21315.0,14365.0,75.0,2685.0,19707,1611,22743,,,
2019-01-03,863,285,,,1148,,,,,,,19707,1706,22550,59.6,30.5,11.0
2019-01-04,866,357,,,1223,,,,,,,19707,1577,23363,,,
2019-01-05,1233,231,,,1464,,,,,,,19707,1660,23412,,,
2019-01-06,1596,60,,,1656,,,,,,,19707,1693,21743,,,
2019-01-07,1440,504,37007.0,29349.0,1944,32.0,7.1,21635.0,14350.0,95.0,2855.0,19707,1639,23850,,,
2019-01-08,1470,540,,,2010,33.2,7.3,19570.0,12640.0,95.0,2860.0,19707,1557,24525,,,
2019-01-09,1494,384,,,1878,33.7,7.1,21930.0,15090.0,123.0,2815.0,19707,1757,23764,,,
2019-01-10,1307,324,,,1631,,,,,,,19707,1472,23918,59.9,30.6,14.0
2019-01-11,1133,351,,,1484,,,,,,,19707,1711,23780,,,
2019-01-12,1494,297,,,1791,,,,,,,19707,1605,22795,,,
2019-01-13,1630,60,,,1690,,,,,,,19707,1594,21425,,,
2019-01-14,1550,444,41516.0,33279.0,1994,34.1,7.2,21975.0,14355.0,88.0,2905.0,19707,1751,22938,,,
2019-01-15,1200,393,,,1593,34.0,7.3,20025.0,13015.0,88.0,2910.0,19707,1912,23259,,,
2019-01-16,1366,330,,,1696,31.1,7.2,21535.0,14630.0,83.0,2930.0,19707,1713,22900,,,
2019-01-17,1480,342,,,1822,,,,,,,19707,1553,22445,60.1,30.0,10.0
2019-01-18,1486,336,,,1822,,,,,,,19707,1926,22922,,,
2019-01-19,1587,306,,,1893,,,,,,,19707,2028,24118,,,
2019-01-20,1960,54,,,2014,,,,,,,19707,1991,20867,,,
2019-01-21,1936,453,33386.0,27832.0,2389,29.4,7.2,21455.0,14395.0,88.0,3015.0,19707,1975,22627,,,
2019-01-22,1653,405,,,2058,34.0,7.3,19750.0,12750.0,90.0,2865.0,19707,1565,23073,,,
2019-01-23,1230,396,,,1626,34.2,7.2,20930.0,14290.0,70.0,2805.0,19707,1317,23133,,,
2019-01-24,1087,294,,,1381,,,,,,,19707,1375,22747,59.5,30.8,11.0
2019-01-25,1016,402,,,1418,,,,,,,19707,1044,23267,,,
2019-01-26,1140,273,,,1413,,,,,,,19707,1521,22469,,,
2019-01-27,1484,57,,,1541,,,,,,,19707,1387,20747,,,
2019-01-28,1373,495,38872.0,31997.0,1868,30.8,7.2,19625.0,13225.0,88.0,2955.0,19707,1770,23421,,,
2019-01-29,1227,429,,,1656,33.5,7.3,20710.0,12775.0,100.0,2940.0,19707,1689,23577,,,
2019-01-30,1226,372,,,1598,30.9,7.3,20825.0,13955.0,78.0,2965.0,19707,1895,24048,,,
2019-01-31,1477,303,,,1780,,,,,,,19707,1538,21599,61.3,28.5,12.0
2019-02-01,1447,369,,,1816,,,,,,,19707,1620,22056,,,
2019-02-02,1447,276,,,1723,,,,,,,19707,1720,21665,,,
2019-02-03,1177,60,,,1237,,,,,,,19707,1521,20735,,,
2019-02-04,473,492,,,965,,,,,,,19707,880,23039,,,
2019-02-05,444,60,,,504,,,,,,,19707,429,19264,,,
2019-02-06,1090,450,,,1540,,,,,,,19707,1350,23598,,,
2019-02-07,1197,477,,,1674,,,,,,,19707,1669,26042,60.5,29.4,12.0
2019-02-08,1250,432,,,1682,,,,,,,19707,1883,23932,,,
2019-02-09,1560,339,,,1899,,,,,,,19707,1766,23186,,,
2019-02-10,1514,54,,,1568,,,,,,,19707,1500,20626,,,
2019-02-11,1294,453,46149.0,36813.0,1747,31.0,7.1,20935.0,14060.0,100.0,3065.0,19707,1462,22815,,,
2019-02-12,1340,432,,,1772,35.7,7.4,20850.0,13290.0,98.0,3060.0,19707,1776,23531,,,
2019-02-13,1363,375,,,1738,32.7,7.3,23620.0,16295.0,95.0,3015.0,19707,1732,22951,,,
2019-02-14,1160,354,,,1514,,,,,,,19707,1348,22864,,,
2019-02-15,1067,387,,,1454,,,,,,,19707,1733,21478,,,
2019-02-16,1364,318,,,1682,,,,,,,19707,1861,24240,,,
2019-02-17,1573,48,,,1621,,,,,,,19707,1772,16442,,,
