Date,PS_TS,PS_VS,M1_in,M1_temp,M1_pH,M1_TS,M1_VS,M1_VFA,M1_Alk,M1_vol,M1_eff,CO2,H2S,MY
2020-01-06,35190.0,26905.0,1052,38.5,7.2,24380.0,61.7,799.0,3445.0,27468,1108,35.6,2.0,0.4507808420417424
2020-01-07,36065.0,26915.0,1148,36.4,7.4,31485.0,48.7,128.0,3415.0,27468,1190,35.48892128279883,2.026735314186465,0.4304925404179149
2020-01-08,37435.0,27795.0,1058,32.0,7.3,23085.0,61.6,158.0,3180.0,27468,1065,35.40932944606414,2.102723156131754,0.4431957273044913
2020-01-09,37755.0,27895.0,1121,32.26976733524356,7.3104000000000005,23294.04,61.3608,213.4035811088296,3182.361151079137,27468,1078,35.355976676384834,2.2216363749147074,0.422094408838028
2020-01-10,41205.0,30125.0,1036,32.96130200573066,7.3351999999999995,23792.52,60.790400000000005,291.5340287474333,3190.0834532374097,27468,1170,35.32361516034986,2.3771478196141675,0.428702918399155
2020-01-11,39211.29629629629,28754.814814814814,948,33.897953008595984,7.3648,24387.48,60.1096,372.2626858316222,3204.1251798561148,27468,1126,35.3069970845481,2.5629303393089757,0.46809434248478093
2020-01-12,35508.7037037037,26210.185185185182,1209,34.903069340974206,7.389600000000001,24885.96,59.5392,435.4608952772074,3225.4446043165467,27468,1192,35.30087463556851,2.7726567830779723,0.42801151553868466
2020-01-13,33515.0,24840.0,1121,35.8,7.4,25095.0,59.3,461.0,3255.0,27468,943,35.3,3.0,0.44702269367843583
2020-01-14,43105.0,32130.0,882,36.6,7.4,23575.0,61.0,133.0,3430.0,27468,1117,35.52814550861362,3.416931194234729,0.43951681445738566
2020-01-15,49115.0,37085.0,855,35.2,7.5,24800.0,57.6,145.0,3345.0,27468,1125,36.03338802296964,4.044440631434454,0.39324900588524797
2020-01-16,45540.0,34175.0,903,35.38720000000001,7.4896,24751.754411764705,58.120000000000005,189.507614213198,3377.400510127532,27468,1091,36.54693652584085,4.649729752916953,0.4197439366175124
2020-01-17,45605.0,32740.0,966,35.8336,7.4648,24602.263235294115,59.36,270.2710659898477,3458.8015303825955,27468,1093,36.8,5.0,0.4032175203086999
2020-01-18,43240.555555555555,30602.142857142855,1063,36.3664,7.4352,24344.394852941175,60.84,360.7807106598985,3565.502295573893,27468,1098,36.83156263677392,5.1397418414370355,0.3974766829843178
2020-01-19,38849.444444444445,28288.571428571428,1118,36.8128,7.4104,23971.017647058827,62.080000000000005,434.5269035532996,3673.802040510128,27468,1108,36.85989758847404,5.268691808520643,0.3954314104652005
2020-01-20,36485.0,27205.0,1115,37.0,7.4,23475.0,62.6,465.0,3760.0,27468,1097,36.88514727935004,5.3869204363773155,0.4373616377852139
2020-01-21,39040.0,29605.0,1112,35.9,7.4,21560.0,61.6,113.0,3820.0,27468,1054,36.907454133651584,5.494498260133546,0.3934185545972816
2020-01-22,37905.0,28995.0,1055,34.2,7.5,33125.0,50.2,338.0,3425.0,27468,1000,36.92696057562836,5.591495814915827,0.42473135639585896
2020-01-23,42715.0,32825.0,988,34.237163602451375,7.5313145112325435,32822.48121640891,50.68700159489634,333.77777777777777,3435.740740740741,27468,1025,36.94380902953001,5.677983635850653,0.40988050416065996
2020-01-24,42683.07629204266,32710.94526592252,955,34.33447908339995,7.556527018822101,31992.273225841833,51.96507177033493,323.22222222222223,3462.5925925925926,27468,957,36.958141919606234,5.754032258064516,0.42488085037317047
2020-01-25,42576.22887612798,32401.635797767565,603,34.47068345323741,7.575819672131147,30750.398568608092,53.759808612440196,309.5,3497.5,27468,551,36.97010167010669,5.819712216683908,0.6221312281879072
2020-01-26,42377.84331419196,31946.353696651346,572,34.624513722355445,7.589374620522161,29212.879785016998,55.79681020733652,295.77777777777777,3532.4074074074074,27468,489,36.97983070528106,5.875094046835325,0.6218103803332036
